on x=-22..28,y=-12..37,z=-34..11
on x=-35..15,y=-10..40,z=-48..-2
on x=-31..19,y=-4..43,z=-22..28
on x=-48..-2,y=-36..13,z=-29..20
on x=0..49,y=-14..30,z=-39..6
on x=-8..41,y=-9..41,z=-42..7
on x=-22..25,y=-16..28,z=-40..9
on x=-11..33,y=-22..26,z=0..44
on x=-13..39,y=-26..19,z=-31..15
on x=-7..47,y=-1..44,z=-40..13
off x=-47..-31,y=12..24,z=4..19
on x=-23..30,y=-22..27,z=-9..35
off x=-49..-33,y=36..46,z=28..42
on x=0..48,y=-41..7,z=-18..31
off x=-48..-34,y=-33..-18,z=-32..-23
on x=-16..29,y=0..48,z=-12..37
off x=-48..-32,y=-47..-31,z=-24..-8
on x=-35..18,y=-11..42,z=-23..21
off x=-5..5,y=-47..-31,z=-18..-4
on x=-41..10,y=-39..8,z=-45..5
on x=57743..70226,y=-61040..-49730,z=-9481..1779
on x=34469..59935,y=-19657..-15459,z=52982..68107
on x=2032..20175,y=43518..62126,z=58508..71090
on x=31229..48351,y=22846..46374,z=58775..63336
on x=50790..81085,y=-43836..-24658,z=16376..45716
on x=28957..62666,y=-63812..-43726,z=-21518..-20032
on x=-79145..-53125,y=-58835..-40328,z=-34032..-1191
on x=-39963..-30908,y=61052..76815,z=-14209..4001
on x=30995..46213,y=-188..23074,z=48848..73955
on x=-30327..817,y=-92891..-71382,z=-556..15570
on x=-66084..-49749,y=-70089..-44721,z=543..18051
on x=-10435..875,y=1868..22100,z=-90712..-72390
on x=-6457..23401,y=39789..59388,z=-64029..-59562
on x=-48891..-19571,y=-60094..-41210,z=-63314..-59729
on x=-84053..-64052,y=2084..16189,z=-31207..-1454
on x=-52377..-25969,y=-90697..-66004,z=-17839..-5215
on x=-7876..16576,y=25156..48291,z=-78019..-63073
on x=-70710..-54783,y=28572..57892,z=2846..14577
on x=69353..93836,y=-32370..-11069,z=-15941..8778
on x=-92783..-71784,y=-17812..17198,z=2761..27075
on x=45799..59502,y=-51290..-23552,z=35610..57193
on x=-50227..-17040,y=46996..74417,z=28330..44175
on x=8914..26079,y=-50911..-30028,z=-67490..-43942
on x=-10960..6571,y=-75351..-66572,z=21851..44569
on x=22699..44190,y=-83751..-52386,z=20341..36226
on x=58542..77668,y=47268..63235,z=-3866..26621
on x=73780..79320,y=-13674..519,z=-25349..-12369
on x=61440..79923,y=7960..26241,z=-27706..-15327
on x=38043..50418,y=44221..51183,z=-65245..-45723
on x=22702..31491,y=-17144..312,z=-85339..-53805
on x=21638..55787,y=44959..61008,z=-47808..-39438
on x=-63113..-41252,y=-67744..-41914,z=-26758..-4882
on x=63367..92148,y=30084..48195,z=-5852..-3181
on x=11847..30590,y=66766..73165,z=19550..26333
on x=-82252..-43217,y=16642..33032,z=31779..53160
on x=376..8916,y=-85149..-77287,z=-3825..28320
on x=-11778..4687,y=-65208..-43505,z=-56839..-41330
on x=-59599..-26799,y=-43262..-22054,z=53184..68929
on x=27880..45230,y=31092..48118,z=53472..65470
on x=66503..87392,y=14887..44613,z=5640..29076
on x=-18992..15785,y=70329..84705,z=-11543..3900
on x=26450..55691,y=33724..51544,z=-67288..-47510
on x=-55101..-20607,y=-54336..-50167,z=-63808..-39985
on x=-58662..-44430,y=23514..35998,z=-57391..-35888
on x=-30686..-14789,y=52951..78131,z=23020..30026
on x=59723..89386,y=-1973..20344,z=-23466..16370
on x=-28704..-19628,y=-26635..-10672,z=67912..92984
on x=34109..52603,y=6207..33762,z=-78531..-54945
on x=6969..35234,y=12510..46591,z=-88613..-51919
on x=-16819..13310,y=-78286..-72895,z=-40672..-15821
on x=12715..44649,y=59413..85803,z=12932..25405
on x=39882..72763,y=-29701..-24955,z=30035..53183
on x=61861..91147,y=-22736..-7422,z=4820..7751
on x=25793..39413,y=46741..82626,z=5326..33146
on x=-6107..19053,y=68420..92110,z=-36318..-16459
on x=28551..40390,y=68467..76382,z=-16632..-2714
on x=-45969..-23239,y=-62699..-36719,z=38811..56336
on x=-76366..-72346,y=21237..38131,z=-10669..22165
on x=44705..59494,y=6680..11337,z=49501..61061
on x=2597..24468,y=14065..37612,z=61022..74073
on x=35904..59720,y=-8301..13166,z=59515..64632
on x=-19466..2821,y=54015..73358,z=37279..67387
on x=22671..24877,y=-78893..-54761,z=30577..49365
on x=-61910..-30004,y=-48658..-30216,z=-63277..-39443
on x=31804..62778,y=-10031..4607,z=53321..66647
on x=35353..59793,y=-64800..-45779,z=-45954..-25389
on x=-54351..-23056,y=-85690..-64612,z=-11671..9856
on x=46643..60469,y=-72975..-45242,z=-27257..-9772
on x=-1587..22614,y=42774..64311,z=-75051..-55436
on x=43500..63874,y=57617..69803,z=-9587..20014
on x=-84644..-71132,y=20240..38502,z=20664..34375
on x=40993..55870,y=-67190..-52687,z=-33480..-19778
on x=-47052..-17260,y=-89061..-56609,z=-1611..29297
on x=25170..40430,y=-74511..-62273,z=-42240..-11723
on x=20724..48041,y=-49570..-30648,z=-65320..-52402
on x=18971..41779,y=-74384..-55955,z=21290..42401
on x=12372..25040,y=-19897..8311,z=-92628..-74366
on x=-41481..-9209,y=-30115..-3165,z=61616..78046
on x=-60608..-23394,y=-77847..-59531,z=23434..37967
on x=-71858..-50069,y=-57588..-41250,z=-50072..-33315
on x=37501..71584,y=31996..53811,z=27365..52251
on x=-56165..-38552,y=44724..61002,z=23249..44903
on x=33227..40766,y=61266..72042,z=-40028..-30190
on x=-11144..9046,y=20660..52650,z=61730..86031
on x=21865..39875,y=46084..72027,z=-41788..-32094
on x=-30545..-4677,y=44278..74009,z=-59990..-47040
on x=-48012..-35017,y=-70818..-58672,z=16398..44578
on x=-60425..-50019,y=-59529..-42076,z=-36601..-4347
on x=-5505..16222,y=77230..83177,z=-12302..11122
on x=18568..47510,y=62799..88600,z=-6696..22060
on x=34553..42144,y=67458..85473,z=-20865..3279
on x=-70604..-50638,y=-37855..-14331,z=-37538..-26619
on x=-18955..-3382,y=-15846..1586,z=65846..86641
on x=-36618..-11388,y=-38199..-8026,z=-84356..-55275
on x=14279..42431,y=39293..56427,z=50099..77725
on x=28773..43843,y=51502..73850,z=4898..32973
on x=-78414..-50811,y=-51353..-20494,z=170..25282
on x=-2690..8500,y=42310..58100,z=45997..59275
on x=-51673..-35241,y=-69072..-48834,z=23583..43079
on x=-17870..16848,y=-3928..15129,z=-84692..-79036
on x=-87341..-71032,y=-20078..212,z=1818..30236
on x=71091..85417,y=-5563..16629,z=22831..30523
on x=28443..44534,y=53772..78417,z=-11050..19315
on x=-58440..-40362,y=-36161..-21536,z=51262..64247
on x=-43628..-14975,y=21749..39527,z=-87409..-62207
on x=-83544..-75074,y=-33970..-17359,z=-13538..9135
on x=18355..46439,y=17596..51653,z=49322..73971
on x=-10768..10856,y=-209..18736,z=-79866..-77867
on x=-64915..-38455,y=-33420..-19423,z=-57336..-36896
on x=-59594..-49691,y=39386..53637,z=-61118..-42358
on x=22547..44540,y=41783..75825,z=-53800..-26170
